procedurecode,proceduredesc,tariffamount,tariffname
DRG1000,10% DEXTROSE,1582.87,isalu
DRG 800033,1vial of pulmcort 0.5MG,2093.85,isalu
DIAG525,25 Hydroxy Cholecalciferol (Vitamin D) -  [Serum],71500.00,isalu
DRG1003,4.3 DEXTROSE 4NORMAL SALINE 0.18,1700.00,isalu
DRG1703,4.3 DEXTROSE SALINE,1752.59,isalu
DRG1004,5% DEXTROSE INFUSION,1500.00,isalu
DRG1005,50% DEXTROSE,1500.00,isalu
PCD267,ABDOMINAL HYSTERECTOMY,715200.00,isalu
PCD284,ABDOMINAL MYOMECTOMY - BELOW 28 WEEKS,1080000.00,isalu
CLI0101,ABDOMINAL RECTOPEXY - GENERAL WARD,8016.00,isalu
DIAG1845,ABDOMINOPELVICS,10260.00,isalu
DIAG789,"Abnormal Haemoglobin studies (Hb variants),  -  [Blood]",2494.80,isalu
DIAG1655,ABO BLOOD GROUPING AND RHESUS TYPING/ BLOOD GROUP   -  [EDTA -BLOOD],8000.00,isalu
CLI0009,Above Elbow Cast,97200.00,isalu
PCD131,"ABSCESS - LARGE, OR EXTENSIVE CELLULITIS REQUIRING INCISION OR DRAINAGE",32640.00,isalu
PCD130,"ABSCESS - SMALL, OR CELLULITIS REQUIRING INCISION AND DRAINAGE WITH LOCAL ANAESTHETIC",48600.00,isalu
DRG1012,ACARBOSE,115.20,isalu
DRG1013,ACCOLATE 20MG TAB,100.80,isalu
DRG4013,ACECLOFENAC 100MG,57.60,isalu
DRG1021,ACETAZOLAMIDE 250MG TAB,72.00,isalu
DRG1715,ACETAZOLAMIDE 250MG TAB,100.80,isalu
DRG3169,ACICLOVIR 200MG TAB,200.00,isalu
DRG4016,ACICLOVIR 800 MG,244.80,isalu
DRG1023,ACICLOVIR CREAM,5817.45,isalu
MED0289,ACICLOVIR TAB 100MG,129.60,isalu
DRG1025,ACICLOVIR TAB 400MG,250.00,isalu
DIAG184,"Acid Phosphatase, prostatic fraction -  [Serum]",2500.00,isalu
DIAG185,"ACID PHOSPHATASE, TOTAL  -  [SERUM]",8800.00,isalu
PCD770,Acoustic Neuroma,63840.00,isalu
DRG1033,ACTIVATED VEGETABLE CHARCOAL,1496.88,isalu
DRG1035,ACTRAPID INSULIN 10MLS (40 UNITS/ML),2880.00,isalu
DRG1036,ACTRAPID PENFIL,12816.00,isalu
PCD4004,Acute Intra-Abdominal Vascular Disease Surgery,4704.00,isalu
DRG4018,ACYCLOVIR EYE OINTMENT,1180.00,isalu
MED0548,Acycoeplusaceclofenac+pcm,284.59,isalu
DRG1037,ADALAT CR 30MG TABS X28,288.00,isalu
DRG1040,Addyzoa tablet,858.17,isalu
PCD170,ADENOTONSILLECTOMY,385000.00,isalu
CLI0013,Adhesiolysis,94802.40,isalu
PCD91,Adrenalectomy,638400.00,isalu
DRG1041,ADRENALINE INJ 1MG/AMP,1261.86,isalu
DRG5008,ADULT DIAPERS,550.00,isalu
DRG1042,ADVANTAN 0.1% CREAM,2808.00,isalu
DRG1043,ADVANTAN OINTMENT,2844.00,isalu
DIAG817,AFB XPERT PANEL BY GENEXPERT,71280.00,isalu
DIAG643,"AFB, CULTURE BY CONVENTIONAL  LJ MEDIUM -  [SPUTUM]",22233.42,isalu
DIAG646,"AFB, SMEAR EXAMINATION BY FLUORESCENT MICROSCOPY -  [ANY SPECIMEN ]",3900.00,isalu
DIAG528,AFP-ALPHA FETO PROTEIN -  [SERUM],20991.96,isalu
DRG1046,AFRAB VITE DROP,1125.43,isalu
PCD275,After Birth Care,35000.00,isalu
DRG4025,AKINETON INJ,1306.79,isalu
DRG3281,ALBENDAZOLE 200MG TAB,72.00,isalu
DRG3282,ALBENDAZOLE 400MG TAB,811.42,isalu
DRG4030,ALBENDAZOLE INJECTION 400MG,239.33,isalu
DIAG188,ALBUMIN -  [SERUM],16816.14,isalu
CLI0104,ALBUMIN CREATININE RATIO- [ACR],28333.80,isalu
DRG1064,Alendronic acid 70mg (Milpharm) X4,2851.20,isalu
DRG4035,ALFUZOSIN TAB,645.08,isalu
DIAG193,ALKALINE PHOSPHATASE ALP -  [SERUM],4573.80,isalu
DRG1067,ALLOPURINOL 100MG TAB,147.99,isalu
DRG1068,ALLOPURINOL 300MG TAB,130.07,isalu
DRG1072,ALOMIDE EYE DROPS 10MLS,3340.80,isalu
DRG1073,ALPHABETIC CAPLET,748.48,isalu
DIAG195,ALT (SGPT) -  [SERUM],5225.00,isalu
DRG4041,ALTARGO CREAM RETAPAMULIN,3384.00,isalu
DRG4043,AMANTADINE HCL 100MG,813.78,isalu
DRG1080,AMARYL 1MG * 30 TABS,92.16,isalu
DRG1092,AMIKACIN  INJECTION 500MG/2ML,1425.60,isalu
MED0304,Amikacin injection,3406.57,isalu
DRG1093,AMILORIDE 5MG TAB,79.20,isalu
DRG2117,AMILORIDE HYDROCHLORIDE 5MG AND HYDROCHLOROTHIAZIDE 50MG,64.40,isalu
DRG1094,amino pep liq 200ml b/s,1353.60,isalu
DRG4054,Aminofer Capsules,48.96,isalu
DRG1095,AMINOPHYLLINE INJECTION 250MG/AMP,1000.00,isalu
DRG1096,AMIODARONE 100MG TAB,266.81,isalu
DRG1097,AMIODARONE 200MG TAB,265.18,isalu
DRG1098,AMITRIPTYLINE 25MG,46.00,isalu
DRG1101,AMITRIPTYLINE TABS 50MG,64.80,isalu
DRG1106,AMLODIPINE 10MG,73.60,isalu
DRG1220,AMLODIPINE 2.5MG,115.20,isalu
DRG1110,AMLODIPINE 5MG,91.70,isalu
DRG4064,AMLODIPINE VALSARTAN 10/160MG TAB,650.00,isalu
MED0044,AMLODIPINE VALSARTAN 5/160MG TAB,1241.86,isalu
DRG1900,AMLODIPINE VALSARTAN HCT 10/160/12.5MG TAB,700.00,isalu
MED0201,AMLODIPINE VALSARTAN HCT 10/320/25MG TAB,3123.49,isalu
MED0011,AMLODIPINE VALSARTAN HCT 5/160/12.5MG TAB,1404.49,isalu
DRG4067,AMLODIPINE VALSARTAN HCT 5/160/25MG TAB,475.20,isalu
DRG1434,AMODIAQUINE 200MG,32.99,isalu
DRG4078,AMODIAQUINE 50MG/5ML SYRUP,1584.00,isalu
DRG1256,AMOXCILLIN CLAVULANIC 228MG/5ML SUSPENSION,6076.74,isalu
DRG2166,AMOXICILLIN 125MG/5ML SUSPENSION,1140.48,isalu
DRG1142,AMOXICILLIN 250MG CAP,113.55,isalu
MED0520,AMOXICILLIN 250MG/5ML SYRUP,936.00,isalu
DRG2813,AMOXICILLIN 500MG,200.00,isalu
BRG2813,AMOXICILLIN 500MG  (BRANDED),236.25,isalu
DRG1144,AMOXICILLIN 500MG INJECTION,236.25,isalu
DRG1249,AMOXICILLIN CLAVULANIC ACID 1.2MG INJECTION,4534.71,isalu
DRG1250,AMOXICILLIN CLAVULANIC ACID 1G TAB,498.96,isalu
DRG1943,AMOXICILLIN CLAVULANIC ACID 375MG SUSPENSION,5346.00,isalu
DRG1127,AMOXICILLIN CLAVULANIC ACID 375MG TABLET,336.00,isalu
DRG1133,AMOXICILLIN CLAVULANIC ACID 457MG SUSPENSION,6000.00,isalu
DRG1128,AMOXICILLIN CLAVULANIC ACID 600MG INJECTION,2227.58,isalu
DRG1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB,200.00,isalu
BRG1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB (BRANDED),421.74,isalu
DRG1141,AMOXYCILLIN INJ. 500MG,300.00,isalu
DRG1150,Ampicillin 250mg+Cloxacillin 250mg per vial (sodium salt of each),500.00,isalu
DRG1151,Ampicillin 50mg + cloxacillin 25 mg,2016.00,isalu
DRG1148,AMPICILLIN CLOXACILLIN 500MG,122.89,isalu
SUR0044,Amputation and Disarticulation of Joints,211200.00,isalu
SUR0045,Amputation and Limb Substitution,211200.00,isalu
DIAG198,AMYLASE -  [SERUM],11286.00,isalu
DIAG388,ANA - ANTI NUCLEAR ANTIBODY - [SERUM],49500.00,isalu
PCD4016,Anaesthetist Fee Major,40000.00,isalu
PCD4018,Anaesthetist Fee Medium/Intermediate,30000.00,isalu
DRG1155,ANAFRANIL 25,297.00,isalu
CLI0105,ANAL FISTULECTOMY REPAIR,486000.00,isalu
SUR0002,ANAL PULL THROUGH PROCEDURE SWENSON,24000.00,isalu
PCD22,Anal Sphincterotomy,24000.00,isalu
DRG1161,ANALGESIC CREAM,450.00,isalu
CLI0024,Anastomosis Of Common Bile Duct,963840.00,isalu
PCD4406,ANC BRONZE,80000.00,isalu
DRG1159,Ankle support trx,17514.36,isalu
DRG1163,ANTACID SUSPENSION,1537.38,isalu
DRG1162,ANTAZOLINE 0.05%/ TETRAHYDROZOLINE 0.04% EYE DROP,3376.30,isalu
PCD280,ANTENATAL CARE PACKAGE- ROUTINE INV AND 8 VISITS,40000.00,isalu
DRG1164,ANTHISAN CREAM 25G,2736.00,isalu
CLI0146,Anti Citrulinated Protein Antibodies,66521.00,isalu
DRG1165,ANTI D IMMUNOGLOBULIN INJECTION,28800.00,isalu
DIAG866,Anti HAV - IgG Antibody to Hepatitis A Virus -  [Serum],14000.00,isalu
DIAG530,ANTI HAV - IGM ANTIBODY TO HEPATITIS A VIRUS -  [SERUM],15000.00,isalu
DIAG531,ANTI HBCAG -IGM ANTIBODIES TO HEPATITIS B CORE AG -  [SERUM],10000.00,isalu
DIAG532,ANTI HBCAG -TOTAL ANTIBODIES TO HEPATITIS B CORE AG -  [SERUM],8000.00,isalu
DIAG867,ANTI HBSAG SURFACE ANTIBODY (SERUM),22346.28,isalu
DIAG534,ANTI HBSAG -TOTAL ANTIBODIES TO HEPATITIS B SURFACE ANTIGEN (QUANTITATIVE),50000.00,isalu
DIAG1660,ANTI HCV- SCREENING -[SERUM],3000.00,isalu
DIAG874,Antimony ICPMS - [EDTA Blood],28595.70,isalu
MED0537,Antinuclear Antibody,44000.00,isalu
DRG1166,ANTIRABIES INJECTION,13365.00,isalu
DRG1167,ANTISTIN-PRIVIN EYE DROPS 1OML,1872.00,isalu
DRG1173,APOBACYN POWDER,1584.00,isalu
DRG1176,APROVASC 150/10MG TABS X30,1926.82,isalu
DRG1177,APROVASC 150/5MG TABS X28,1033.12,isalu
DRG1178,APROVASC 300/10MG TABS X28,891.00,isalu
DIAG1665,aPTT- Activated Partial Thromboplastin -  [Citrated  Plasma],2600.00,isalu
DRG1188,ARICEPT (DONEZEPIL),1008.00,isalu
DRG1190,Aristobet N OINTMEMT,2518.56,isalu
OPT11,Aristobet N Ointment,62400.00,isalu
PCD6001,ARM SLING,10012.46,isalu
DRG1776,ARTEETHER 150MG/2ML INJECTION,1840.22,isalu
DRG4661,ARTEETHER 75MG/2ML INJECTION,1544.40,isalu
DRG1195,ARTEMISININ/PIPERAQUINE 62.5MGMG/375MG,1000.00,isalu
DRG1198,ARTESUNATE 120MG INJ.,2208.26,isalu
DRG1437,ARTESUNATE 25MG/AMODIAQUINE 75MG,700.25,isalu
DRG1199,ARTESUNATE 50MG TAB,350.00,isalu
DRG1200,ARTESUNATE 60MG INJ.,3251.73,isalu
MED0226,ARTESUNATE INJECTION 30MG,1300.00,isalu
DRG1201,ARTESUNATE SYRUP,3318.08,isalu
DRG2816,ARTESUNATE/AMODIAQUINE 50MG/200MG,400.00,isalu
DRG1196,ARTESUNATE/MEFLOQUINE 100/125MG,0.00,isalu
DRG1197,ARTESUNATE/MEFLOQUINE 200/250MG,0.00,isalu
DRG2538,ARTESUNATE/SULFAMETHOXYPYRAZINE/PYRIMETHAMINE 100MG/250MG/12.5MG,17784.36,isalu
DRG1588,ARTESUNATE/SULFAMETHOXYPYRAZINE/PYRIMETHAMINE 200MG/500MG/25MG,528.00,isalu
DRG1084,ARTHEMETER  LUMEFRANTINE 20/120,90.00,isalu
DRG1081,ARTHEMETER  LUMEFRANTINE 80/480,213.00,isalu
BRG1081,ARTHEMETER  LUMEFRANTINE 80/480  (BRANDED),350.46,isalu
DRG1202,ARTHEMETER  LUMEFRANTINE SYRUP,2762.10,isalu
DRG2216,ARTHEMETER 80MG INJECTION,1500.00,isalu
DRG1203,ARTHEMETER INJECTION 40MG,2091.60,isalu
DRG1083,ARTHEMETER LUMEFANTRINE 40/240,110.00,isalu
DRG1209,ARTHRITISCARE SATCHET,120.00,isalu
DRG1182,ARTIFICIAL TEARS,2304.00,isalu
DRG1212,ARVED 450MG TAB,230.40,isalu
DRG1219,ASMALYN SYRUP,1164.24,isalu
BIO0017,ASO Titre anti DnaseB,5200.00,isalu
DIAG683,ASPIRATE FOR M/C/S,19602.00,isalu
DRG1222,ASPIRIN 300MG,27.60,isalu
DRG1224,ASPIRIN 75MG,36.20,isalu
DRG2482,ASPIRIN CREAM,520.00,isalu
PCD4032,"ASSISTED DELIVERY (FORCEPS,VACUUM ETC): BUNDLED PRICE",80000.00,isalu
DIAG207,AST (SGOT) -  [Serum],4775.76,isalu
DRG1227,ASTIZOL 10MG TAB,407.52,isalu
DRG1228,ASTYFER CAP,317.21,isalu
DRG1229,ASTYFER SYRUP,6865.22,isalu
DRG1230,ASTYMIN CAP,475.84,isalu
DRG1231,ASTYMIN INFUSION,10602.90,isalu
DRG1232,ASTYMIN SYRUP,7299.78,isalu
DRG1236,ATACAND 32MG BY 28,510.00,isalu
DRG1239,ATACAND PLUS 16/12.5MG,420.00,isalu
DRG2707,ATENOLOL 100MG,70.00,isalu
DRG1243,ATENOLOL 50MG TAB,270.36,isalu
MED0205,Atersunate   Amodiaquine 50mg/200mg/tab (pack),1152.00,isalu
DRG1246,ATORVASTATIN 10MG,198.45,isalu
DRG1597,ATORVASTATIN 20MG,197.13,isalu
DRG1245,ATORVASTATIN 40MG,690.64,isalu
DRG1248,ATROPINE EYE DROP,1872.00,isalu
DRG1247,ATROPINE INJ,2561.33,isalu
DRG4100,ATS 10000 IU ANTI TETANUS,648.00,isalu
PCD271,AUGMENTATION OF LABOUR,27000.00,isalu
DRG1260,AUGMENTIN DROP,1733.54,isalu
Dru0006,AURA NASAL SAUCTION/CLEARANCE,20000.00,isalu
SUR0149,AURAL TOILETING,24960.00,isalu
DRG1265,AVOCOMB 450MG TAB,360.00,isalu
DRG1266,Avodart (Dutasteride) 0.5mg,498.96,isalu
DRG1267,AVOLAM 150MG TAB,264.96,isalu
DRG1274,AZATHIOPRIN TABS 50MG,320.76,isalu
DRG3302,AZITHROMYCIN 200MG/5ML SYRUP,2100.00,isalu
DRG3303,AZITHROMYCIN 250MG,200.00,isalu
DRG1278,AZITHROMYCIN 500MG CAP,384.20,isalu
DRG1279,AZOPT EYE DROPS,6624.00,isalu
DRG1282,BACLOFEN 10MGX84 TAB,218.99,isalu
DRG1285,BANOCIDE 50MG TAB,1428.84,isalu
DIAG343,BCG Scar Report,3600.00,isalu
DRG1289,BCG VACINE,3773.00,isalu
DRG1291,BECLOX 500MG CAP,79.20,isalu
DRG1294,BECONASE NASAL SPRAY,4320.00,isalu
DRG1296,Bells Vitamin Syrup 100ml,990.00,isalu
DIAG344,"Bence Jones Proteins (Qualitative) -  [Urine, spot]",33000.00,isalu
DRG1301,BENDROFLUMETHIAZIDE 2.5MG TABS,57.60,isalu
DRG1302,BENDROFLUMETHIAZIDE TABS 5MG,64.80,isalu
DRG1322,BENZHEZOL 5MG TAB,30.00,isalu
DRG3243,BENZOYL PEROXIDE AND SALICYLIC ACID,480.00,isalu
DRG1168,Benzyl benzoate + bismuth Oxide + Bismuth subgallate+ Hydrocortisone Suppository 33mg + 24mg + 59mg cream,708.49,isalu
DRG2391,BENZYL BENZOATE LINIMENT 100MLS,1718.42,isalu
DRG1324,BENZYL PEROXIDE 10% LOTION,6237.00,isalu
DRG1325,BENZYL PEROXIDE 5% LOTION,1080.00,isalu
DIAG915,Beta HCG  Quantitative,31482.00,isalu
DRG4257,BETAMETHASONE + SALICYLIC ACID 15G,9290.64,isalu
DRG4107,BETAMETHASONE EYE DROP,2849.13,isalu
DRG1335,BETAMETHASONE N  CREAM,800.00,isalu
DRG1065,BETAMETHASONE/NEOMYCIN EYEDROP,1584.00,isalu
DRG1327,BETAXOLOL 0.5%,2304.00,isalu
DRG1339,BETNOVATE N CREAM,2520.00,isalu
DRG1341,BETROSIL CREAM 20MG,1591.13,isalu
DRG1346,BICALUTAMIDE TABS 50MG * 28,634.43,isalu
DIAG208,BICARBONATE -  [SERUM],4400.00,isalu
SUR0107,BILATERAL ARTERY LIGATION,24000.00,isalu
PCD4401,BILATERAL AURAL PACKING,20000.00,isalu
PCD126,BILATERAL HERNIA - INGUINAL REPAIR,513000.00,isalu
CLI0108,BILATERAL ORCHIDECTOMY,491040.00,isalu
PCD269,Bilateral Tubal Ligation,35000.00,isalu
DIAG209,BILIRUBIN (DIRECT) -  [SERUM],6602.31,isalu
DIAG211,BILIRUBIN (TOTAL) -  [SERUM],2000.00,isalu
DIAG212,"BILIRUBIN (TOTAL, DIRECT, INDIRECT) -  [SERUM]",6602.31,isalu
DIAG454,BIOPSY- LARGE  SPECIMEN FOR HISTOLOGY -  [TISSUE],37800.00,isalu
PCD4040,Biopsy Of Tumor Of Abdominal Wall,4704.00,isalu
DIAG456,BIOPSY- SMALL SPECIMEN FOR HISTOLOGY -  [TISSUE],30780.00,isalu
DIAG458,BIOPSY-SKIN BIOPSY FOR HISTOLOGY WITH SPECIAL STAIN (SOS) -  [TISSUE],45000.00,isalu
DRG1362,BISACODYL 10MG SUPPOSITORIES,1156.98,isalu
DRG1770,BISACODYL 10MG TAB,45.56,isalu
DRG1364,BISOPROLOL 10MG,200.00,isalu
DRG1365,BISOPROLOL 2.5MG,183.84,isalu
DRG1366,BISOPROLOL 5MG,150.00,isalu
DRG1367,BISOVOLIN TAB,144.00,isalu
DRG1368,BIVACYN SPRAY,2088.00,isalu
PCD220,Bladder - Repair Of Rupture,200000.00,isalu
DRG4114,BLADDER SYRINGE,950.40,isalu
DIAG1667,BLEEDING AND CLOTTING TIME,1000.00,isalu
CLI0139,BLEEDING TIME,3076.92,isalu
DIAG686,BLOOD CULTURE (AEROBIC AND ANAEROBIC),8000.00,isalu
BIO0016,BLOOD GROUP AND ANTIBODY,1960.20,isalu
DIAG1799,Blood Screening of Donor Blood  Infection Screen x 3 pint,1000.00,isalu
DRG1512,BLOOD TONIC CAPSULES,36.00,isalu
DRG1925,BLOOD TONIC SYRUP,2736.00,isalu
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,20000.00,isalu
PCD789,BLOOD TRANSFUSION RH -VE BLOOD WITH SET,23000.00,isalu
DRG1370,BONABABE SYRUP,420.00,isalu
CLI0132,BOTH LOWER LIMBS (ARTERIAL),85536.00,isalu
PCD9,"Breast - Simple Mastectomy, Unilateral",100000.00,isalu
Pro0004,BREAST SCAN,16251.84,isalu
DRG1381,BRETT MOUTH WASH,997.92,isalu
DRG1390,BROMAZEPAM 1.5MG,65.34,isalu
DRG1391,BROMAZEPAM 3MG,221.10,isalu
DRG1388,BROMHEXINE 80MG TAB,138.24,isalu
DRG1389,BROMOCRIPTINE 1.25MG TAB,180.00,isalu
MED0618,BRONCHOLYTE 4mg/5ml,1865.00,isalu
DRG1398,BRUSTAN-N SYRUP 60ML,648.00,isalu
PCD134,BURNS WOUND DEBRIDEMENT AND DRESSING,7500.00,isalu
DIAG540,"CA- 125 (CANCER ANTIGEN-125),  -  [SERUM]",33085.80,isalu
DIAG541,"CA- 15.3 (CANCER ANTIGEN 15.3),  -  [SERUM]",33085.80,isalu
CLI0144,CA 19.9,35640.00,isalu
DIAG542,CA- 19.9 (CANCER ANTIGEN 19.9)  -  [SERUM],13500.00,isalu
DIAG948,CA- 242  -  [Serum],13500.00,isalu
DRG1407,CABERGOLINE 0.5MG TABS,2913.69,isalu
DRG1408,CAC 1000,1485.57,isalu
INP0016,Caesarean section general ward,3000.00,isalu
PCD307,CAESERAN SECTION,500000.00,isalu
DRG4132,CAFFEINE 5MG ML INJ,24449.04,isalu
DRG1413,CALAMINE LOTION,500.00,isalu
DIAG221,CALCIUM -  [SERUM],80.45,isalu
DIAG183,CALCIUM -  [URINE],4500.00,isalu
DRG1421,CALCIUM GLUCONATE INJ,1552.32,isalu
DRG4133,CALCIUM GLUCONATE TAB,184.98,isalu
DRG1422,CALCIUM LACTATE 300MG TAB,18.40,isalu
DRG4134,CALCIUM SUSPENSION,814.97,isalu
DRG1436,CAMOSUNATE ADULT,990.71,isalu
DRG2903,CANDERSARTAN 16MG,200.00,isalu
MED0247,CANDERSARTAN 2MG,230.40,isalu
MED0251,CANDERSARTAN 32MG,1597.86,isalu
MED0248,CANDERSARTAN 4MG,403.20,isalu
DRG1441,CANDESARTAN 8MG,300.00,isalu
DRG1238,CANDESARTAN/HYDROCHLOROTHIAZIDE 16MG/12.5MG,576.00,isalu
MED0124,Candibiotic Ear Drops,1440.00,isalu
DRG1445,CANESTEN PESSARY 500MG BY 1,698.40,isalu
SUR0030,Capsule Endoscopy,53280.00,isalu
DRG1449,CAPTOPRIL 12.5MG,72.00,isalu
DRG1450,CAPTOPRIL 25MG TAB,80.64,isalu
DRG1451,CAPTOPRIL 50MG TAB,122.40,isalu
DRG1454,CARBAMAZEPINE 200MG TAB,13935.24,isalu
DRG1453,CARBAMAZEPINE 400MG TAB,200.00,isalu
DRG3031,CARBAMAZEPINE SYRUP,13935.24,isalu
DRG1455,CARBIMAZOLE 5MG,229.81,isalu
DRG1457,CARDIOACE CAP,165.60,isalu
DIAG963,Cardiolipin Antibody- IgG -  [Serum],39924.50,isalu
DIAG964,Cardiolipin Antibody- IgM -  [Serum],20000.00,isalu
CONS003,CARDIOLOGIST CONSULTATION,28215.00,isalu
CONS004,CARDIOLOGIST FOLLOW UP,20000.00,isalu
CONS005,CARDIOTHORACIC SURGEON  FOLLOW UP,35910.00,isalu
CONS006,CARDIOTHORACIC SURGEON CONSULTATION,51300.00,isalu
PCD619,Carotid Sinus Denervation,5000.00,isalu
DRG1460,CARVEDILOL 12.5MG TAB,64.80,isalu
DRG1461,CARVEDILOL 25MG TAB,79.20,isalu
DRG1462,CARVEDILOL 3.125MG,144.82,isalu
DRG1463,CARVEDILOL 6.25MG TAB,144.89,isalu
DRG1467,CASTOR OIL B.,6519.74,isalu
DIAG139,CATHETER SITE DRESSING,1500.00,isalu
PCD241,CATHETERISATION,56430.00,isalu
CLI0067,CAUTERIZATION,106920.00,isalu
DIAG543,CEA,44000.00,isalu
DIAG546,CEA -Carcino Embryonic Antigen -  [Tissue],30000.00,isalu
DRG1472,CECLOR SUSPENSION,1800.00,isalu
DRG1474,CEFIXIME 100MG SUSPENSION,2851.20,isalu
DRG2552,CEFIXIME 200MG,250.00,isalu
DRG2553,CEFIXIME 400MG,250.00,isalu
DRG1476,CEFOTAXIME INJECTION 500MG,3399.34,isalu
DRG4143,CEFPODOXIME 100MG/5ML SYRUP,11370.74,isalu
DRG4144,CEFPODOXIME 200MG,465.70,isalu
DRG4146,CEFPODOXIME 50MG/5ML SYRUP,4160.00,isalu
DRG4147,CEFTAZIDIME 1G INJ,3150.00,isalu
DRG4149,CEFTRIAXONE 500MG INJ,950.40,isalu
DRG1477,CEFTRIAZONE INJ 1G,2905.36,isalu
DRG1479,CEFUNAT SUSPENSION,504.90,isalu
DRG1482,CEFUROXIME 125MG SUSPENSION,6414.96,isalu
DRG4150,CEFUROXIME 250MG INJ,2100.00,isalu
DRG1991,CEFUROXIME 250MG SUSPENSION,4621.35,isalu
DRG1480,CEFUROXIME 250MG TAB,200.00,isalu
MED0198,CEFUROXIME 500MG INJ,960.00,isalu
DRG1478,CEFUROXIME 500MG TAB,250.00,isalu
DRG4151,CEFUROXIME 750MG INJ,2285.99,isalu
DRG1485,CELECOXIB 200MG CAPS,150.00,isalu
DIAG701,Cell count -  [CSF],7300.00,isalu
PCD159,Central Vein Catheterisation-Procedure Kit,56133.00,isalu
DRG3319,CENTRUM MULTIVITAMINS TAB,123.84,isalu
DRG2959,CEPHALEXIN 125MG/5ML SUSPENSION,1224.00,isalu
DRG1498,CEPHALEXIN 500MG CAPS,123.84,isalu
DRG1501,CEPOREX SYRUP 125MG/ML,1800.00,isalu
DRG1502,CEPOREX SYRUP 250MG/ML,2088.00,isalu
DRG4155,CERVARIX INJECTION,20587.07,isalu
PCD304,CERVICAL CERCLEAGE,179550.00,isalu
DRG1504,CERVICAL COLLAR HARD LARGE,17084.41,isalu
DRG1505,CERVICAL COLLAR HARD MEDIUM,8910.00,isalu
DRG1506,CERVICAL COLLAR SOFT LARGE,7920.00,isalu
PCD258,CERVICAL LACERATION REPAIR,10656.00,isalu
PCD257,CERVICAL POLYPECTOMY,81000.00,isalu
PCD615,Cervical Rib Excision,7200.00,isalu
PCD254,Cervix - Amputation Or Reconstruction Vaginal Approach,130000.00,isalu
PCD256,Cervix Cauterisation Of - With Anaesthesia,50000.00,isalu
PCD309,CESAREAN SECTION WITH BILATERAL SALPINGOOPERECTOMY,200000.00,isalu
DRG1376,Cetalkonium Chloride + Choline Salicylate 1OG,1424.25,isalu
MED0551,Cetirizine (Syr. Zyncet 60ml),475.20,isalu
DRG1511,CETIRIZINE 10MG,43.20,isalu
DRG4156,CETIRIZINE SYRUP,475.20,isalu
CLI0050,Change Of Central Line,56133.00,isalu
PCD704,Cheiloplasty,528000.00,isalu
DRG4157,CHICKEN POX VACCINE,29959.02,isalu
IMU0001,Chicken Pox Vaccine Varicella,17478.72,isalu
DIAG628,"CHLAMYDIA , NUCLEIC ACID",44000.00,isalu
DIAG703,CHLAMYDIA TRACHOMATIS SPECIFIC ANTIGEN - [SWAB],15000.00,isalu
DRG1526,CHLOPHENAMINE 2MG SYRUP,648.00,isalu
DRG2693,CHLOPHENAMINE 4MG,35.64,isalu
DRG1706,CHLORAMPHENICCOL EYE DROP,840.00,isalu
DRG1519,CHLORAMPHENICOL EYE OINTMENT,848.60,isalu
DRG4158,CHLORAMPHENICOL INJ 1G,2347.88,isalu
DRG1520,CHLORAMPHENICOL INJ. 500MG,288.00,isalu
DRG4160,Chlorhexidine (Emxidine) 25g Gel,1027.48,isalu
DIAG225,Chlorides -  [Serum],700.00,isalu
DRG1523,CHLOROQUINE 300MG TAB,71.15,isalu
