procedurecode,proceduredesc,tariffamount,tariffname
DRG1524,CHLOROQUINE INJ 200MG/5ML,1290.37,isalu
DRG1525,CHLOROQUINE SYRUP 75mg/5ml,983.14,isalu
DRG1527,CHLORPHENIRAMINE 4MG TAB,27.60,isalu
DRG1528,CHLORPHENIRAMINE INJ 10MG,500.00,isalu
DRG1832,CHLORPHENIRAMINE SYRUP,800.00,isalu
DRG1529,CHLORPROMAZINE 100MG TAB,184.02,isalu
DRG1530,CHLORPROMAZINE INJ 50MG,1746.36,isalu
DRG1531,CHLORPROPAMIDE 250MG TAB,72.00,isalu
DRG1532,"CHOLECALCIFEROL 5,000 IU SYRUP",1872.00,isalu
DRG1533,"CHOLECALCIFEROL 5,000 IU TAB",216.00,isalu
PCD96,Cholecystectomy,955200.00,isalu
DRG4164,CHOLERA VACCINE,17463.60,isalu
DIAG228,CHOLESTEROL (TOTAL) -  [SERUM],2990.79,isalu
MED0329,CHYMORAL,432.00,isalu
DRG1534,CHYMORAL TAB,195.42,isalu
DRG1536,CICATRIN POWDER,432.00,isalu
DRG1538,CIKLAVIT 200MLS,2232.00,isalu
DRG1540,CIMETIDINE 200 mg,128.07,isalu
DRG1541,CIMETIDINE 200MG INJ,920.11,isalu
DRG1542,CIMETIDINE TAB 400MG,148.70,isalu
DRG1543,,20.00,isalu
DRG2976,CINNARIZINE 25MG,75.00,isalu
DRG1547,CIPROFLOXACIN 200MG INFUSION,1000.00,isalu
DRG0358,CIPROFLOXACIN 500MG,284.59,isalu
DRG1546,CIPROFLOXACIN EYE DROPS,1450.13,isalu
PCD240,CIRCUMCISION,8000.00,isalu
PCD4403,CIRCUMCISION BY PAEDIATRIC SURGEON,249096.00,isalu
DRG4175,CITANEW 10 MG ESCITALOPRAM,110.00,isalu
DRG4176,CITANEW ESCITALOPRAM 5MG,374.22,isalu
DRG1552,CLAFORAN INJ,2880.00,isalu
DRG1559,CLARITHROMYCIN 500MG CAP,250.00,isalu
DRG4179,CLAVAM 228MG/5ML_100MLS,3207.60,isalu
DRG1568,CLEXANE INJ 20MG,23447.79,isalu
DRG4185,CLINDAMYCIN 150MG CAP,169.00,isalu
DRG1573,CLINDAMYCIN 300MG CAP,200.00,isalu
DRG4187,CLINDAMYCIN INJECTION 600MG,330.00,isalu
DRG1574,CLINITEST TAB,115.20,isalu
DRG1576,CLOBETASOL CREAM 45G,1800.00,isalu
DRG1579,CLOMID 50MG TAB,1940.36,isalu
DRG4190,CLONAZEPAM 0 5MG TABS,855.36,isalu
DRG2700,CLOPIDOGREL 75MG,110.00,isalu
DRG5009,CLOPIXOL 200MG(ZUCLOPENTHIXOL200MG/AMP,3333.96,isalu
PCD530,CLOSED REDUCTION OF FRACTURE OF SMALL BONE WITH EXTERNAL FIXATOR,21120.00,isalu
DRG2425,CLOTRIMAZOLE 2% SOLUTION 25MLS,780.00,isalu
DRG1443,CLOTRIMAZOLE CREAM 100MG,2744.28,isalu
DRG1444,CLOTRIMAZOLE PESSARY,1000.00,isalu
DRG2195,CLOTRIMAZOLE/METRONIDAZOLE/LACTOBACILLUS SPORES,2000.00,isalu
BIO0023,CLOTTING PROFILE,29600.00,isalu
DRG1575,CLOXACILLIN 250MG CAP,50.40,isalu
DIAG549,CMV-IgG Antibodies to Cyto Megalo Virus -  [Serum],20111.00,isalu
DIAG551,CMV-IgM Antibodies to Cyto Megalo Virus -  [Serum],20111.00,isalu
DRG1586,CoAprovel 150/12.5mg,646.04,isalu
DRG1590,CO-ARSUCAM ADULT TABS,1728.00,isalu
DRG1591,CO-ARSUCAM JUNIOR TABS,1728.00,isalu
DRG1594,COD LIVER OIL CAP,100.98,isalu
DRG1595,COD LIVER OIL CAP 525MG (7SEAS),4864.86,isalu
DRG1596,COD LIVER OIL SYRUP,100.98,isalu
DRG1593,CODEINE AND PARACETAMOL 8/500MG,120.00,isalu
DRG4202,CODLIVER OMEGA 3 TAB,2750.00,isalu
DRG4204,COLCHICINE TABS 1MG,368.40,isalu
PCD57,Colectomy - Total With Ileo-Rectal Anastomosis,830400.00,isalu
DRG1608,COLIPAN 10MG TAB,223.20,isalu
DRG1609,COLIPAN SYRUP 5MG/MLS,648.00,isalu
DRG1610,COLLOMACK SOLUTION 10ML,3427.38,isalu
OPT29,COLOR VISION,4320.00,isalu
DRG1611,COLOSTOMY BAG SIZE 50,1944.00,isalu
DIAG176,Colposcopy  Biopsy  Histopathology,20800.00,isalu
SUR0172,COMB TEST ( INDIRECT ),5500.00,isalu
MED0322,combination 3 Pill,8033.26,isalu
DRG1617,COMBIVIR TAB 450MG,720.00,isalu
DRG1618,CO-MICARDIS 40/12.5 Sachet,498.96,isalu
DRG1619,Co-Micardis 80/12.5mg Sachet,550.26,isalu
PCD25,Complicated Repair Of Anal Fistula,21120.00,isalu
PCD682,Condilectomy- Bilateral,595200.00,isalu
OPT187,Conjuctivectomy And Cryoapplication (Major-SURGICAL),22080.00,isalu
DRG1623,CONTIFLO XL,216.29,isalu
SUR0058,Conversion Of Hemiarthroplasty To Total Shoulder Replacement,571200.00,isalu
DIAG1672,Coomb's test (Direct) or Direct antiglobulin test (DAT) -  [EDTA -Blood],6949.80,isalu
DIAG1673,Coomb's test (Indirect) or Indirect antiglobulin test (IAT) -  [Serum],18700.00,isalu
DRG1624,COPPER T (IUCD),2580.73,isalu
PCD351,Cornea Or Sclera - Removal Of Foreign Body,21024.00,isalu
PCD408,Corrective Osteotomy,864000.00,isalu
MED0542,Corsodyl mouth wash,10371.24,isalu
DIAG553,Cortisol -  [Serum],19159.00,isalu
DIAG1083,"Cortisol - Free [Urine, 24 hours]",19159.00,isalu
DRG1626,COSOPT EYE DROP EGYPT,6912.00,isalu
DRG1627,CO-TENIDONE 100/25MG,93.60,isalu
DRG1628,CO-TENIDONE 50/12.5MG,57.60,isalu
DRG1631,COTRIMOXAZOLE 480MG  TAB,36.00,isalu
DRG2914,CO-TRIMOXAZOLE 960MG TAB,350.00,isalu
DRG1630,CO-TRIMOXAZOLE SYRUP,29.70,isalu
DRG1318,COUGH  SYRUP (CODIENE) paediatric,3182.26,isalu
DRG4208,COUGH SYRUP,930.00,isalu
MED0592,Cough Syrup (guaifenesin)(expectorant),853.78,isalu
DRG1635,COVERAM 5/10MG TABS X30,2056.82,isalu
DRG1636,COVERAM 5/5MG TABS X30,1442.26,isalu
DIAG233,CPK - CREATININE PHOSPHOKINASE (TOTAL) -  [SERUM],11000.00,isalu
DIAG234,C-REACTIVE PROTEIN (ASPIRATE),19976.22,isalu
DIAG236,CREATININE -  [SERUM],3103.65,isalu
DRG1642,CREPE BANDAGE,256.13,isalu
DRG1643,CRESCENT SIMVASTATIN 10MG,35.00,isalu
PCD901,Critical Care (In ICU),25000.00,isalu
MED0039,CROMAX 2/4,1440.00,isalu
DIAG241,CRP- C-REACTIVE PROTEIN -  [SERUM],6800.00,isalu
PCD4084,Crutches,41912.64,isalu
MED0065,crutches Large,27165.60,isalu
PCD297,Cryotherapy/Cautery of Cervix,45000.00,isalu
DRG1648,CRYSTALLINE PENICILLIN 1MU,388.80,isalu
BIO0008,Csf Chloride,2975.00,isalu
DIAG704,CSF M/C/S,5200.00,isalu
DIAG705,"CSF, Routine examination, (Basic) -  [CSF]",4000.00,isalu
DRG4210,CSM MENIGICOCCAL VACCINE,23987.72,isalu
DIAG035,CT BRAIN,94802.40,isalu
DIAG083,CT LUMBAR SPINE,128304.00,isalu
DIAG099,CT Pulmonary Angiography,116769.60,isalu
CLI0121,CT SCAN BRAIN - CONTRAST,12960.00,isalu
DIAG107,CT SCAN UROGRAPHY,40629.60,isalu
DIAG114,CT Spine,10710.00,isalu
DRG1649,CUSICROM EYE DROP,1440.00,isalu
DRG1654,CYPRI GOLD PLUS CAPLET,100.98,isalu
DRG1655,CYPRI GOLD S/S,100.98,isalu
DRG1656,CYPRI GOLD SYRUP b/s,1629.94,isalu
DRG1657,CYPRIGOLD (CYPROHEPTADINE),28.80,isalu
PCD688,CYST - SOFT TISSUE - EXCISION,192500.00,isalu
PCD215,Cystoscopy and Bladder distension,432000.00,isalu
PCD217,CYSTOURETHROSCOPY - WITH BLADDER NECK INCISION OR MAJOR VISUAL URETHROTOMY,900480.00,isalu
DRG1664,DAFLON 500MG,120.00,isalu
DRG1667,DAKTACORT CREAM,2232.00,isalu
DRG4217,DANAZOL 200MG,522.72,isalu
DRG4220,Dapagliflozin 10mg x28,1063.26,isalu
DRG4222,DARAPRIM TABLET,83.16,isalu
DRG1675,DARAVIT FORTE,322.53,isalu
DRG1981,DARROW'S SOLUTION,1592.02,isalu
DRG1679,D-ARTEPP 40/320MG X9 TABS,261.36,isalu
DRG01B,DAZELKIT(150MG/1G/1G),2080.00,isalu
DIAG555,D-DIMER QUANTIFICATION -  [EDTA BLOOD],20991.96,isalu
DRG4227,DEBIXA 10 ARIPIPRAZOLE 10MG,1782.00,isalu
PCD133,DEBRIDEMENT OF INFECTED WOUND AREA AND CLOSURE,10000.00,isalu
DRG1687,DEEP HEAT SPRAY,2520.00,isalu
PCD508,DEEP LACERATION SUTURE,3850.00,isalu
DENT09,Dental Acrylic Partial Dentures-Clasps(One),90000.00,isalu
DENT10,Dental Acrylic Partial Dentures-Each Additinal Tooth,12000.00,isalu
DENT11,DENTAL ACRYLIC PARTIAL DENTURES-FIRST TOOTH,12000.00,isalu
DENT12,Dental Additional Porcelin Ponting Above 3 Units,12000.00,isalu
DENT13,DENTAL AMALGAM FILLING (A/F),10000.00,isalu
CONS007,DENTAL CONSULTATION,5000.00,isalu
DENT17,DENTAL CURETTAGE (PER TOOTH),6000.00,isalu
DENT19,DENTAL FISSURE SEALANT,5000.00,isalu
CONS008,DENTAL FOLLOW UP,4760.00,isalu
DENT26,Dental Fracture (Mandible/Maxilla) Intermediate,100000.00,isalu
DENT35,Dental Implants with Crown,400000.00,isalu
DENT37,Dental Light Cured - Class III (Front),30000.00,isalu
DENT38,DENTAL LIGHT CURED - CLASS V (SIDE),40000.00,isalu
DENT39,DENTAL LIGHT CURED - COMPOSITE TOOTH BUILD UP,30000.00,isalu
DENT40,dental Light Cured - Incisors (Angle Build Up),40000.00,isalu
DENT44,DENTAL LIGHT CURVED COMPOSITE RESTORATION,12000.00,isalu
DENT46,DENTAL OPERCULECTOMY,40000.00,isalu
DENT47,DENTAL ORTHODONTIC CONSULTATION,20000.00,isalu
DENT50,Dental Pin / Reinforcement ( for restorations) Per Tooth,25000.00,isalu
DENT51,DENTAL PIT AND FISSURE SEALANTS PER TOOTH,5000.00,isalu
DENT56,DENTAL SCALING AND POLISHING,20000.00,isalu
DENT63,DENTAL SURGICAL EXTRACTION (MAJOR),50000.00,isalu
DENT64,DENTAL SURGICAL EXTRACTION (MINOR),6000.00,isalu
DENT65,Dental Teeth Recontouring and reshaping (Per tooth),15000.00,isalu
DENT66,Dental Teeth Whitening (Home),2500.00,isalu
DENT67,Dental Teeth Whitening (Office),1000.00,isalu
DRG4228,DEPIXOL 20MG INJ,5132.16,isalu
DRG1692,DEPOMEDROL INJ 80MG/AMP,3528.00,isalu
CONS009,DERMATOLOGY CONSULTATION,28215.00,isalu
CONS010,DERMATOLOGY FOLLOW UP,23085.00,isalu
DRG1696,DERMOVATE CREAM 25G,1987.20,isalu
DRG1698,DETRUSITOL 2MG TAB,324.00,isalu
DRG1699,DETRUSITOL XL 4MG CAP,648.00,isalu
DRG4231,DEXAMETHASONE 0.5MG TAB,43.70,isalu
DRG4232,DEXAMETHASONE 1MG TAB,9.96,isalu
DRG1785,DEXAMETHASONE EYE DROP,1944.00,isalu
DRG2327,"DEXAMETHASONE, NEOMYCIN, AND POLYMYXIN B",4977.13,isalu
DRG1354,DEXAMETHASONE/GENTAMICIN/CLOTRIMAZOLE CREAM,800.00,isalu
DRG2328,DEXAMETHASONE/NEOMYCIN/POLYMYCIN B OINMENT,1944.00,isalu
DRG1701,DEXAMETHAZONE 4MG INJ,500.00,isalu
DRG1002,DEXTROSE SALINE 4.3,1500.00,isalu
DIAG556,DHEAS - DEHYDROEPIANDROSTERONE SULPHATE -  [SERUM],9000.00,isalu
DRG4240,DHEAS INJ,25823.00,isalu
DRG1710,DIABENESE 250mgTAB,100.80,isalu
PCD100,Diaphragmatic Hernia Repair,170000.00,isalu
DRG1717,DIAZEPAM 5MG INJ,850.00,isalu
DRG1718,DIAZEPAM 5MG TAB,87.42,isalu
DRG2310,DIAZEPAM 5MG/5ML IN 2ML AMP INJECTION,331.20,isalu
DRG1009,DICLOFENAC 100MG TAB,57.60,isalu
DRG3205,DICLOFENAC 125MG SUPPOSITORIES,543.69,isalu
DRG1337,DICLOFENAC 50MG,199.23,isalu
DRG1211,DICLOFENAC 75MG and MISOPROSTOL 200MCG,200.00,isalu
DRG3291,DICLOFENAC CREAM,1000.00,isalu
DRG1719,DICLOFENAC EYE DROP,1350.00,isalu
DRG1720,DICLOFENAC GEL,1900.00,isalu
DRG4250,DICLOFENAC PLUS CHOLESTYRAMINE 75MG TAB,786.51,isalu
DRG1722,DICLOFENAC SODIUM 100MG TAB,150.00,isalu
DRG1723,DICLOFENAC SODIUM 50MG,94.63,isalu
DRG1721,DICLOFENAC SODIUM 75MG INJ,736.09,isalu
DRG1725,DICLOFENAC SODIUM GEL,1339.20,isalu
DRG1728,DICYNONE 250MG INJECTION,3059.10,isalu
DRG1729,DICYNONE 250MG TAB,1108.78,isalu
DRG4252,DIETHYLCARBAMAZINE 50MG TABS,3492.72,isalu
CONS011,DIETICIAN CONSULTATION,28215.00,isalu
CONS012,DIETICIAN FOLLOW UP,24300.00,isalu
DRG1733,DIGOXIN 250MCG,166.10,isalu
DRG4253,DIGOXIN INJ,1728.00,isalu
DRG1060,DIHYDROARTEMISININ 40MG PIPERAQUINE PHOSPHATE 320MG,411.06,isalu
DRG2630,DIHYDROARTEMISININ 80MG PIPERAQUINE PHOSPHATE 640MG SUSPENSION,2245.32,isalu
DRG4239,DIHYDROCODEINE TAB 30MG,250.00,isalu
OPT172,DILATATION,24000.00,isalu
SUR0092,Dilatation Of Cervix Uteri And Curettage Of Uterus Including Polypectomy And Diathermy Of Cervix (DandC),28000.00,isalu
DRG1736,DILOXANIDE FUROATE 500MG TAB,446.40,isalu
DRG4516,DIPHENEXYLATE/ATROPINE TAB,96.48,isalu
DRG1742,DIPYRIDAMOL (PERSANTIN) 200MG CAP,86.40,isalu
SUR0111,Diverticulectomy,144000.00,isalu
DRG1749,DOLONEUROBION TAB,864.00,isalu
DRG2412,DOMPERIDONE 10MG TAB,461.04,isalu
DRG1751,DONEPEZIL TABS 10MG * 28 (MILPHARM),948.98,isalu
DIAG143,DOPAMINE INJECTION,1562.22,isalu
DIAG1785,Dopamine Injection/Dose,1562.22,isalu
SUR0100,Dorsal Root Ganglion Block (Local Anaesthetic Or Neurolytic),21120.00,isalu
DRG1756,DOSTINEX TAB 0.5MG UK,2594.71,isalu
DRG1757,DOXAZOSIN 2MG TABLETS,156.55,isalu
DRG1758,Doxazosin 4mg,235.60,isalu
DRG1759,DOXYCYCLINE 100MG CAP,61.34,isalu
DIAG557,"DR ADEMUYIWA RESEARCH (FERRRTIN, IRON N TIBC)",45934.00,isalu
SUR0104,Drainage Of Breast Abscess,112320.00,isalu
PCD138,Drainage Of Haematoma,70200.00,isalu
PCD261,Drainage of Pelvic Abscess Via Fornices,288000.00,isalu
CLI0143,DRAINAGE OF WHITLOW,7500.00,isalu
DRG1764,DREZ OINTMENT 10G,1562.22,isalu
DRG1765,DREZ SOLUTION 30ML,4811.40,isalu
DRG4265,DROTAVERINE TAB 40MG NOSPA TAB,307.36,isalu
OPH0001,DRY EYE TEST SCHIRMER'S TEST,2688.00,isalu
DRG1769,Ducolax (Bisacodyl 5mg),93.60,isalu
DRG1772,DUOVIR 650MG TAB,698.40,isalu
DRG4267,DUTASTERIDE 0.5MG TAB,144.00,isalu
DRG1773,DYDROGESTRONE 10MG,1382.00,isalu
DRG1774,DYNAMOGEN LIQUID 10MLS,597.72,isalu
DRG1775,E MAL INJECTION 75MG * 3,2049.06,isalu
DIAG558,E2 - ESTRADIOL -  [SERUM],19602.00,isalu
DRG1778,E45 CREAM 50G,1728.00,isalu
DRG1779,E45 lotion,350.00,isalu
PCD792,EAR PIERCING,3591.00,isalu
DIAG710,EAR SWAB M/C/S,4466.88,isalu
PCD794,EAR SYRINGING -BILATERAL,5400.00,isalu
PCD795,EAR SYRINGING -UNILATERAL,2688.00,isalu
DRG1503,EAR WAX SOFTENER,5161.46,isalu
DIAG010,ECG (RESTING) ELECTROCARDIOGRAPHY,16251.84,isalu
DIAG013,ECHOCARDIOGRAPHY,15000.00,isalu
DRG1781,ECOSLIM (ORLISTAT CAPSULES) 120MG,300.00,isalu
PCD4110,Ectopic pregnancy,606144.00,isalu
DRG1786,ELASTOPLAST,25.00,isalu
PCD4113,Electrocautery Of Nose,4224.00,isalu
DIAG244,"Electrolytes = Sodium, Potassium, Chloride  [Urine, spot]",1400.00,isalu
DIAG246,"ELECTROLYTES = SODIUM, POTASSIUM, CHLORIDE [SERUM]",4250.00,isalu
DRG1789,ELICORID,282.24,isalu
CONS083,EMERGENCY CONSULTATION,4800.00,isalu
DRG1801,Emgyl syrup,623.70,isalu
DRG1803,EMMOX 500MG (SACHET),1320.00,isalu
DRG1836,Emzor omega 3 fish oil,112.86,isalu
DRG1851,ENALAPRIL 10mg (TEVA),40.32,isalu
DRG1852,ENALAPRIL TAB 10MG,64.80,isalu
DRG1853,ENALAPRIL TAB 5MG,57.60,isalu
DRG1858,ENCEPHABOL TAB,374.40,isalu
DRG1859,ENDIX-G CREAM,734.40,isalu
DIAG711,ENDOCERVICAL SWAB M/C/S,5000.00,isalu
CONS013,ENDOCRINOLOGY CONSULTATION,18000.00,isalu
CONS014,ENDOCRINOLOGY FOLLOW UP,23085.00,isalu
DIAG479,ENDOMETRIAL BIOPSY  HISTOLOGY,153900.00,isalu
DRG1860,ENGERIX B-VACCINE,5536.08,isalu
DRG1861,ENHANCIN 312MG/5ML SUSP,2304.00,isalu
DRG1862,ENHANCIN 375MG TAB,201.60,isalu
DRG1569,ENOXAPARIN INJ 40MG,17944.74,isalu
OPT45,ENT,13344.00,isalu
CONS015,ENT SPECIALIST CONSULTATION,28215.00,isalu
CONS016,ENT SPECIALST FOLLOW UP,23085.00,isalu
DRG1866,Enterogermina,795.14,isalu
OPT183,Entropion And Ectropion Repairs,21600.00,isalu
DRG1867,EPANUTIN PER SAT,689.04,isalu
DRG4277,EPHEDRINE INJ 1MG AMP,9779.62,isalu
PCD515,EPIDURAL INJECTION ANAESTHETIC - LUMBAR / CAUDAL,120000.00,isalu
DRG1871,EPILIM ENTERIC TAB200mg Sachet,110.00,isalu
DRG1872,EPILIM SYRUP,6264.00,isalu
DRG1873,EPILIM TAB 200MG,115.20,isalu
PCD273,EPISIOTOMY AND REPAIR,12960.00,isalu
DRG1876,EPSOM SALT,110.00,isalu
DRG4281,ERGOMETRINE INJECTION,243.54,isalu
DRG1877,ERGOT INJECTION,644.08,isalu
DRG1878,ERGOT TAB,57.60,isalu
DRG1411,ERGOTAMINE TARTRATE AND CAFFEINE,130.00,isalu
PCD303,ERPC EVACUATION MVA,25000.00,isalu
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,3135.00,isalu
DRG2886,ERYTHROMYCIN 500MG,135.00,isalu
DRG4284,ERYTHROPOEITIN INJ 5000IU,15239.90,isalu
DRG1882,ERYTHROPOETIN 2000 UNIT INJ,13680.00,isalu
DRG4285,ERYTHROPOETIN 4000 UNIT INJ,13680.00,isalu
DRG1883,ERYTHROPOETIN-A 10000 UNIT INJ,25920.00,isalu
DRG4286,Esomaprazole (Torziam) 40mg 00,8422.92,isalu
DRG4287,ESOMEPRAZOLE 20MG CAPS,300.00,isalu
DIAG421,ESR (AUTOMATED)   -  [BLOOD],3724.38,isalu
DRG1889,ESSENTIAL FORTE CAP,201.60,isalu
DRG1890,ETHAMBUTOL 400MG TAB,57.60,isalu
DRG1891,ETOVIT CAPGEL 200MG,72.00,isalu
DIAG307,EUCR,9705.96,isalu
DRG1892,EURAX CREAM,2736.00,isalu
PCD902,EVACUATION OF IMPACTED FAECES,10000.00,isalu
DRG4294,EVADINE 200MG TAB,216.00,isalu
DRG1895,EVIOL VITAMIN E 100MG,199.21,isalu
DRG1896,EVITOL 100MG TAB,93.60,isalu
PCD161,EXAMINATION UNDER ANAESTHETIC,189000.00,isalu
PCD803,Exchange blood transfusion - Adults,88000.00,isalu
PCD802,Exchange blood transfusion - babies,30000.00,isalu
SUR0123,EXCISION BIOPSY,163200.00,isalu
PCD460,Excision bone tumour,215000.00,isalu
PCD436,Excision Of Exostosis - Deep Bone,533280.00,isalu
PCD137,EXCISION OF GANGLION,15390.00,isalu
PCD4125,Excision Of Intrascrotal Mass,443190.00,isalu
PCD108,Excision Of Thyroglossal Cyst Or Fistula,21120.00,isalu
PCD4129,EXCISIONAL BIOPSY(WITH HISTOLOGY),130000.00,isalu
DRG1902,"EXFORGE (AMLODIPINE/VALSARTAN)
5MG/25MG/1600MG TAB",1318.68,isalu
DRG1903,"EXFORGE (AMLODIPNE/VALSARTAN)
5MG/12.5MG/160MG TAB",1318.68,isalu
PCD70,EXPLORATORY LAPAROTOMY,872100.00,isalu
PCD27,EXTERNAL HAEMORRHOIDECTOMY,648000.00,isalu
DIAG712,EYE SWAB M/C/S,4243.54,isalu
DIAG713,"FAECES, ROUTINE EXAMINATION (BASIC) -  [STOOL]",1000.00,isalu
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,15000.00,isalu
CONS089,FAMILY MEDICINE PHYSICIAN REVIEW,12825.00,isalu
CLI0074,Family Planning (Injectibles),21600.00,isalu
DRG1913,FASIGYN 500MG TAB,403.92,isalu
DIAG247,FASTING BLOOD SUGAR -[PLASMA],2612.50,isalu
DIAG422,FBC/CBC (FULL BLOOD COUNT) BLOOD,4536.97,isalu
DRG1916,FEBO-G 40MG * 20 TABS (FEBUXOSTAT),273.24,isalu
DRG4303,Febuxostat (Febo-G) 80mg x20,1140.08,isalu
DRG4304,Feeding Tube,7200.00,isalu
DRG1917,FEFOL CAPSULES,108.00,isalu
DRG4305,FELDENE INJ 20MG,504.00,isalu
DRG1921,FELXICAM 20MG CAPS X10,124.74,isalu
DRG1923,FENOFIBRATE 160MG satchet,185.00,isalu
DRG4312,FEROSOFT IRON SUCROSE 5ML,720.00,isalu
MED0357,Ferrobin Plus Cap,100.80,isalu
DRG4311,FERROUS GLUCONATE 300MG,29.70,isalu
DRG1930,FERROUS SULPHATE 200MG TAB,17.48,isalu
DRG1933,FEXET 120MG PER SAT,626.10,isalu
DRG1934,FEXET 180MG PER SAT,1381.56,isalu
DRG4317,Fexofenadine 180mg,1827.86,isalu
DENT74,Fibroma Removal using Laser,281280.00,isalu
DRG1936,FINASTERIDE 5MG,70.00,isalu
DRG1937,FINSTAL 5MG,90.00,isalu
SUR0183,Fistulectomy,345600.00,isalu
DRG4320,FLEET ENEMA,3840.00,isalu
DRG1949,FLIXONASE NASAL SPRAY,3456.00,isalu
DRG1950,FLIXOTIDE ACCUHALER 100MCG,10080.00,isalu
DRG1951,FLIXOTIDE ACCUHALER 50MCG,6624.00,isalu
DRG1959,FLUCAMED EYE DROP,1440.00,isalu
MED0373,FLUCLOXACILLIN 250MG,115.20,isalu
DRG1962,FLUCONAZOLE 150mg,200.00,isalu
DRG1958,FLUCONAZOLE 200MG,200.00,isalu
DRG1730,FLUCONAZOLE 50MG,180.00,isalu
DRG4326,FLUCONAZOLE 50MG SYRUP,2744.28,isalu
DRG4330,FLUCONAZOLE EARDROP,3447.27,isalu
DRG4333,FLUCONAZOLE SUSPENSION,3465.26,isalu
DRG1963,FLUCORDAY TABS,261.36,isalu
DRG5007,FLUNIL,297.00,isalu
DRG1965,FLUOCINONIDE CREAM 35G,1368.00,isalu
DRG4336,FLUOROURACIL 250MG,1420.00,isalu
DRG1966,FLUOXETINE 20MG CAPS,276.04,isalu
DRG4337,FLUPHENAZINE 25MG INJ,565.82,isalu
DRG2157,FLURBIPROFEN EYE DROP,1638.30,isalu
DRG1261,FLUTICASONE FUROATE 27.5 NASAL SPRAY,6624.26,isalu
DRG1967,FOLIC ACID 5MG,18.40,isalu
DRG1969,FOLIC ACID SYRUP,1911.22,isalu
OPT174,FOREIGN BODY REMOVAL,37800.00,isalu
PCD172,"FOREIGN BODY REMOVAL-EAR, NOSE, THROAT",396000.00,isalu
PCD173,"Foreign Body Removal-EAR, NOSE, THROAT- MAJOR",37800.00,isalu
DRG1973,FORTUM 1G INJ,5472.00,isalu
DRG1975,FORXIGA 10MG TABS *28,3708.10,isalu
DRG1976,FRANOL TAB,47.52,isalu
DIAG564,FREE T3  FREE T4  TSH,16883.86,isalu
DIAG565,FREE T4 (FREE THYROXINE) -  [SERUM],17772.48,isalu
PCD674,FRENECTOMY,102600.00,isalu
MED0263,Frusemide (Lasix) Susp Compounded,1296.00,isalu
DRG1977,FRUSEMIDE 20MG INJ,300.00,isalu
DIAG566,FSH - FOLLICLE STIMULATING HORMONE -  [SERUM],16883.86,isalu
BIO0002,FULL INFERTILITY WORKUP,48016.50,isalu
DRG1984,FUNGUSOL LOTION,873.18,isalu
DRG1986,FUNGUSOL POWDER,981.07,isalu
DRG1988,FUROSEMIDE 40MG,62.09,isalu
DRG1992,FYBOGEL GRANULES,144.00,isalu
DIAG641,G6PD -Qualitative -  [Blood],34214.40,isalu
DRG4346,GABAPENTIN 100MG TAB,118.80,isalu
DRG1010,GABAPENTIN 300MG,112.86,isalu
DRG1999,GALVUS MET 850/50MG,374.40,isalu
DIAG249,Gamma GT (GGTP) -  [Serum],11880.00,isalu
DIAG391,Gamma Interferon for TB (Quantiferon TB Gold) -  [Blood],71876.00,isalu
PCD66,Gastrectomy - Partial,681600.00,isalu
PCD94,Gastric Lavage,48600.00,isalu
CONS017,GASTROENTEROLOGY CONSULTATION,28215.00,isalu
