procedurecode,procedure name,,band_d,band_c,band_b,band_a,band_special
DRG2641,PARACETAMOL 500MG,4.5,5.85,7.7805,11.126115,17.02295595,46.81312886
DRG2813,AMOXICILLIN 500MG ,48,50,66.5,95.095,145.49535,400.1122125
DRG1106,AMLODIPINE 10MG ,11,14.3,19.019,27.19717,41.6116701,114.4320928
DRG1084,ARTHEMETER  LUMEFRANTINE 20/120 ,66,50,66.5,95.095,145.49535,400.1122125
DRG1081,ARTHEMETER  LUMEFRANTINE 80/480 ,83,107.9,143.507,205.21501,313.9789653,863.4421546
DRG3188,VITAMIN C 100MG,3,3.9,5.187,7.41741,11.3486373,31.20875258
DRG2278,LORATIDINE 10MG TAB ,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG0358,CIPROFLOXACIN 500MG,40,52,69.16,98.8988,151.315164,416.116701
DRG2370,METRONIDAZOLE 400MG TAB,18,20,26.6,38.038,58.19814,160.044885
DRG2357,OMEPRAZOLE 20MG TAB ,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG1224,ASPIRIN 75MG ,7,9.1,12.103,17.30729,26.4801537,72.82042268
DRG2250,LISINOPRIL 10MG TAB,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2132,IBUPROFEN 400MG ,25,15,19.95,28.5285,43.648605,120.0336638
DRG1711,METFORMIN 500MG ,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2368,METRONIDAZOLE 200MG TAB,8,10.4,13.832,19.77976,30.2630328,83.2233402
DRG2463,VITAMIN B-CO TAB,2,2.6,3.458,4.94494,7.5657582,20.80583505
DRG2216,ARTHEMETER 80MG INJECTION,83,107.9,143.507,205.21501,313.9789653,863.4421546
DRG1723,DICLOFENAC SODIUM 50MG,4,5.2,6.916,9.88988,15.1315164,41.6116701
DRG1063,METHYLDOPA 250MG ,70,50,66.5,95.095,145.49535,400.1122125
DRG1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB,171,180,239.4,342.342,523.78326,1440.403965
DRG2886,ERYTHROMYCIN 500MG ,100,70,93.1,133.133,203.69349,560.1570975
DRG2700,CLOPIDOGREL 75MG ,53,67.67,90.0011,128.701573,196.9134067,541.5118684
DRG2642,PARACETAMOL INJ 150MG/ML,50,65,86.45,123.6235,189.143955,520.1458763
DRG2498,NIFEDIPINE 20MG TAB,7,9.1,12.103,17.30729,26.4801537,72.82042268
DRG1142,AMOXICILLIN 250MG CAP ,35,30,39.9,57.057,87.29721,240.0673275
DRG2693,CHLOPHENAMINE 4MG ,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG2284,LOSARTAN 50MG,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG1110,AMLODIPINE 5MG ,10,13,17.29,24.7247,37.828791,104.0291753
DRG2117,AMILORIDE HYDROCHLORIDE 5MG AND HYDROCHLOROTHIAZIDE 50MG,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2131,IBUPROFEN 200MG TAB,8.5,10,13.3,19.019,29.09907,80.0224425
DRG2517,ORPHENADRINE 100MG ,130,39.46,52.4818,75.048974,114.8249302,315.7685581
DRG1930,FERROUS SULPHATE 200MG TAB,1.8,2.34,3.1122,4.450446,6.80918238,18.72525155
DRG2116,HYDROCHLOROTHIAZIDE 25MG,15,19.5,25.935,37.08705,56.7431865,156.0437629
DRG1759,DOXYCYCLINE 100MG CAP,26,30,39.9,57.057,87.29721,240.0673275
DRG4208,COUGH SYRUP,300,390,518.7,741.741,1134.86373,3120.875258
DRG1148,AMPICILLIN CLOXACILLIN 500MG  ,52,30,39.9,57.057,87.29721,240.0673275
DRG4670,PARACETAMOL 300MG INJ,50,65,86.45,123.6235,189.143955,520.1458763
DRG1722,DICLOFENAC SODIUM 100MG TAB,15,19.5,25.935,37.08705,56.7431865,156.0437629
DRG1163,ANTACID SUSPENSION,750,546,726.18,1038.4374,1588.809222,4369.225361
DRG2042,METFORMIN 1000MG ,140,104,138.32,197.7976,302.630328,832.233402
DRG1478,CEFUROXIME 500MG TAB ,240,170,226.1,323.323,494.68419,1360.381523
DRG1793,HYOSCINE BUTYL BROMIDE 10MG,25,30,39.9,57.057,87.29721,240.0673275
DRG1246,ATORVASTATIN 10MG ,71,58,77.14,110.3102,168.774606,464.1301665
DRG1673,GLIBENCLAMIDE 5MG ,13,16.9,22.477,32.14211,49.1774283,135.2379278
DRG1160,PARACETAMOL 450MG/ ORPHENADRINE 35MG  ,130,70,93.1,133.133,203.69349,560.1570975
DRG1211,DICLOFENAC 75MG and MISOPROSTOL 200MCG ,90,100,133,190.19,290.9907,800.224425
DRG1527,CHLORPHENIRAMINE 4MG TAB,16,10,13.3,19.019,29.09907,80.0224425
DRG1967,FOLIC ACID 5MG,3,3.9,5.187,7.41741,11.3486373,31.20875258
DRG2371,Metronidazole infusion,300,390,518.7,741.741,1134.86373,3120.875258
DRG1199,ARTESUNATE 50MG TAB,120,90,119.7,171.171,261.89163,720.2019825
DRG2914,CO-TRIMOXAZOLE 960MG TAB ,36,40,53.2,76.076,116.39628,320.08977
DRG1838,PARACETAMOL 1G,41,34.67,46.1111,65.938873,100.8864757,277.4378082
DRG1597,ATORVASTATIN 20MG ,89,65,86.45,123.6235,189.143955,520.1458763
DRG2254,LISINOPRIL 5MG TAB,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG1477,CEFTRIAZONE INJ 1G ,600,780,1037.4,1483.482,2269.72746,6241.750515
DRG2056,ZINC 50MG ,10,13,17.29,24.7247,37.828791,104.0291753
DRG2228,LEVOFLOXACIN 500MG TAB,75,97.5,129.675,185.43525,283.7159325,780.2188144
DRG1718,DIAZEPAM 5MG TAB,11,14.3,19.019,27.19717,41.6116701,114.4320928
DRG1200,ARTESUNATE 60MG INJ.,700,660,877.8,1255.254,1920.53862,5281.481205
DRG1337,DICLOFENAC 50MG ,4,5.2,6.916,9.88988,15.1315164,41.6116701
DRG3032,TELMISARTAN 80MG TABS ,89,115.7,153.881,220.04983,336.6762399,925.8596597
DRG2009,GENTAMYCIN 80MG INJ,50,60,79.8,114.114,174.59442,480.134655
DRG7022,"Prednisolone, 5mg/5mL",300,390,518.7,741.741,1134.86373,3120.875258
DRG1721,DICLOFENAC SODIUM 75MG INJ,60,78,103.74,148.3482,226.972746,624.1750515
DRG1559,CLARITHROMYCIN 500MG CAP,250,250,332.5,475.475,727.47675,2000.561063
DRG1693,LOZENGES,200,28,37.24,53.2532,81.477396,224.062839
DRG1485,CELECOXIB 200MG CAPS,126,110,146.3,209.209,320.08977,880.2468675
DRG3182,VITAMIN B COMPLEX ,2,2.6,3.458,4.94494,7.5657582,20.80583505
DRG1593,CODEINE AND PARACETAMOL 8/500MG,148,100,133,190.19,290.9907,800.224425
DRG1534,CHYMORAL TAB,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG1280,ZINC 10MG TAB,10,13,17.29,24.7247,37.828791,104.0291753
DRG2791,QUININE TAB 300MG,75,30,39.9,57.057,87.29721,240.0673275
DRG2437,INDAPAMIDE 1.5MG ,150,114.4,152.152,217.57736,332.8933608,915.4567422
DRG2643,PARACETAMOL  250MG SYRUP,280,200,266,380.38,581.9814,1600.44885
DRG1250,AMOXICILLIN CLAVULANIC ACID 1G TAB,250,200,266,380.38,581.9814,1600.44885
DRG4282,ERYTHROMYCIN 250MG TAB,90,68,90.44,129.3292,197.873676,544.152609
DRG4623,NIFEDIPINE 30MG TAB,183,50,66.5,95.095,145.49535,400.1122125
DRG2024,GLIMEPIRIDE 4MG ,150,195,259.35,370.8705,567.431865,1560.437629
DRG2311,PREGABALIN 75MG CAPS ,89,115.7,153.881,220.04983,336.6762399,925.8596597
DRG2447,VITAMIN C 1000MG,2.5,3.25,4.3225,6.181175,9.45719775,26.00729381
DRG2896,SALBUTAMOL TAB 4MG,4.5,5.85,7.7805,11.126115,17.02295595,46.81312886
DRG2939,TIZANIDINE 2MG ,216,80,106.4,152.152,232.79256,640.17954
DRG3190,VITAMIN C 500MG,80,90,119.7,171.171,261.89163,720.2019825
DRG2508,NITROFURANTOIN 100MG TAB,19,15,19.95,28.5285,43.648605,120.0336638
DRG1480,CEFUROXIME 250MG TAB,190,100,133,190.19,290.9907,800.224425
DRG1278,AZITHROMYCIN 500MG CAP ,230,299,397.67,568.6681,870.062193,2392.671031
DRG4906,VALSARTAN 160MG,300,141,187.53,268.1679,410.296887,1128.316439
DRG4287,ESOMEPRAZOLE 20MG CAPS,64,57,75.81,108.4083,165.864699,456.1279223
DRG1730,FLUCONAZOLE 50MG ,550,180,239.4,342.342,523.78326,1440.403965
DRG2283,LOSARTAN 25MG TAB,28,36.4,48.412,69.22916,105.9206148,291.2816907
DRG1078,GLIMEPIRIDE 2MG TAB ,133,129,171.57,245.3451,375.378003,1032.289508
DRG1243,ATENOLOL 50MG TAB,32,25,33.25,47.5475,72.747675,200.0561063
DRG2789,QUININE INJ. 600MG,450,200,266,380.38,581.9814,1600.44885
DRG1004,5% DEXTROSE INFUSION ,550,500,665,950.95,1454.9535,4001.122125
DRG1365,BISOPROLOL 2.5MG ,60,73,97.09,138.8387,212.423211,584.1638303
DRG1366,BISOPROLOL 5MG ,67,36,47.88,68.4684,104.756652,288.080793
DRG1910,SULFADOXINE AND PYRIMETHAMINE ,98,120,159.6,228.228,349.18884,960.26931
DRG2166,AMOXICILLIN 125MG/5ML SUSPENSION ,480,550,731.5,1046.045,1600.44885,4401.234338
DRG4925,VIDAGLIPTIN/METFORMIN 50/1000MG TAB,383,244.45,325.1185,464.919455,711.3267662,1956.148607
DRG1422,CALCIUM LACTATE 300MG TAB,4.5,5.85,7.7805,11.126115,17.02295595,46.81312886
DRG4518,LOPERAMIDE HYDROCHLORIDE 4MG ,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG2372,TELMISARTAN 40MG ,89,115.7,153.881,220.04983,336.6762399,925.8596597
DRG1391,BROMAZEPAM 3MG ,60,40,53.2,76.076,116.39628,320.08977
DRG1444,CLOTRIMAZOLE PESSARY,250,325,432.25,618.1175,945.719775,2600.729381
DRG2522,NORMAL SALINE ,550,640,851.2,1217.216,1862.34048,5121.43632
DRG1526,CHLOPHENAMINE 2MG SYRUP ,300,390,518.7,741.741,1134.86373,3120.875258
DRG2940,TIZANIDINE 4MG,216,170,226.1,323.323,494.68419,1360.381523
DRG1829,ORAL REHYDRATION SALTS,133,123.5,164.255,234.88465,359.3735145,988.2771649
DRG1098,AMITRIPTYLINE 25MG ,14,18.2,24.206,34.61458,52.9603074,145.6408454
DRG3282,ALBENDAZOLE 400MG TAB ,125,100,133,190.19,290.9907,800.224425
DRG1720,DICLOFENAC GEL,800,494,657.02,939.5386,1437.494058,3953.10866
DRG4907,VALSARTAN 80MG,283,126,167.58,239.6394,366.648282,1008.282776
DRG2751,PROGUANIL 100MG TAB,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG3184,VITAMIN B-CO INJECTION,220,90,119.7,171.171,261.89163,720.2019825
DRG1547,CIPROFLOXACIN 200MG INFUSION,360,468,622.44,890.0892,1361.836476,3745.050309
DRG1009,DICLOFENAC 100MG TAB,15,19.5,25.935,37.08705,56.7431865,156.0437629
DRG1127,AMOXICILLIN CLAVULANIC ACID 375MG TABLET ,150,120,159.6,228.228,349.18884,960.26931
DRG4414,IBUPROFEN 100MG 5ML SUSP,300,311,413.63,591.4909,904.981077,2488.697962
DRG2189,KETOCONAZOLE 200MG TAB,45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1542,CIMETIDINE TAB 400MG,60,30,39.9,57.057,87.29721,240.0673275
DRG2707,ATENOLOL 100MG ,50,30,39.9,57.057,87.29721,240.0673275
DRG2795,RAMIPRIL 5MG ,89,112.64,149.8112,214.230016,327.7719245,901.3727924
DRG2580,OMEPRAZOLE 20MG INJECTION ,550,715,950.95,1359.8585,2080.583505,5721.604639
DRG1198,ARTESUNATE 120MG INJ.,"1,300.00",1100,1463,2092.09,3200.8977,8802.468675
DRG1645,ROSUVASTATIN 20MG ,285,150,199.5,285.285,436.48605,1200.336638
DRG2753,PROMETHAZINE INJ 25MG,50,65,86.45,123.6235,189.143955,520.1458763
DRG3019,TAMSULOSIN HYDROCHLORIDE 0.4MG CAP,135,160,212.8,304.304,465.58512,1280.35908
DRG3078,TRANEXAMIC ACID 500MG TAB,170,120,159.6,228.228,349.18884,960.26931
DRG1032,PSEUDOEPHEDRINE HYDROCHLORIDE 60MG/ TRIPROLIDINE HYDROCHLORIDE 2.5MG ,30,39,51.87,74.1741,113.486373,312.0875258
DRG1003,4.3 DEXTROSE 4NORMAL SALINE 0.18,550,500,665,950.95,1454.9535,4001.122125
DRG1776,ARTEETHER 150MG INJECTION ,666,628.33,835.6789,1195.020827,1828.381865,5028.050129
DRG2330,METOCHLOPRAMIDE 10MG TAB,80,20,26.6,38.038,58.19814,160.044885
DRG3159,SALBUTAMOL 2MG TAB,4,5.2,6.916,9.88988,15.1315164,41.6116701
DRG2552,CEFIXIME 200MG ,220,250,332.5,475.475,727.47675,2000.561063
DRG2708,PROPANOLOL 40MG ,78,32.5,43.225,61.81175,94.5719775,260.0729381
DRG2202,LABETALOL 200MG ,196,182,242.06,346.1458,529.603074,1456.408454
DRG1716,LOPERAMIDE HYDROCHLORIDE 2MG ,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2289,LOSARTAN 100MG,71,58,77.14,110.3102,168.774606,464.1301665
DRG1146,AMPICILLIN CAPS 500MG ,45,18.46,24.5518,35.109074,53.71688322,147.7214289
DRG1644,ROSUVASTATIN 10MG ,250,180,239.4,342.342,523.78326,1440.403965
DRG1664,DAFLON 500MG ,600,138.67,184.4311,263.736473,403.5168037,1109.67121
DRG1390,BROMAZEPAM 1.5MG ,53,40,53.2,76.076,116.39628,320.08977
DRG2277,LORATIDINE SYRUP,850,750,997.5,1426.425,2182.43025,6001.683188
DRG1062,SPIRONOLACTONE 25MG ,36,46.8,62.244,89.00892,136.1836476,374.5050309
DRG1958,FLUCONAZOLE 200MG ,75,97.5,129.675,185.43525,283.7159325,780.2188144
DRG1821,MULTIVITE TAB,3.5,4.55,6.0515,8.653645,13.24007685,36.41021134
DRG2519,ORPHENADRINE + PARACETAMOL ,130,45.5,60.515,86.53645,132.4007685,364.1021134
DRG1818,VITAMIN C 100MG/5MLS SYRUP,300,200,266,380.38,581.9814,1600.44885
DRG1988,FUROSEMIDE 40MG ,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG1093,AMILORIDE 5MG TAB,16,20.8,27.664,39.55952,60.5260656,166.4466804
DRG1962,FLUCONAZOLE 150mg,70,91,121.03,173.0729,264.801537,728.2042268
DRG1773,DYDROGESTRONE 10MG,450,180,239.4,342.342,523.78326,1440.403965
DRG1540,CIMETIDINE 200 mg,55,71.5,95.095,135.98585,208.0583505,572.1604639
DRG1703,4.3 DEXTROSE SALINE ,530,494,657.02,939.5386,1437.494058,3953.10866
DRG2369,METRONIDAZOLE 200MG/5MLS SYRUP,360,330,438.9,627.627,960.26931,2640.740603
DRG2334,IVERMECTIN 3MG TAB,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG4064,AMLODIPINE VALSARTAN 10/160MG TAB,300,314.8,418.684,598.71812,916.0387236,2519.10649
DRG2849,TRAMADOL 50MG ,160,91,121.03,173.0729,264.801537,728.2042268
DRG2252,LISINOPRIL 20MG ,100,60.36,80.2788,114.798684,175.6419865,483.0154629
DRG1020,RABEPRAZOLE 20MG ,82,93.68,124.5944,178.169992,272.6000878,749.6502415
DRG1918,PIROXICAM 20MG ,16,20,26.6,38.038,58.19814,160.044885
DRG2433,NAPROXEN 500MG ,250,66,87.78,125.5254,192.053862,528.1481205
DRG2484,NEUROVITE,150,35.14,46.7362,66.832766,102.254132,281.198863
DRG1443,CLOTRIMAZOLE CREAM 100MG,450,411,546.63,781.6809,1195.971777,3288.922387
DRG4762,METHOCARBAMOL 500MG TABS ,90,68,90.44,129.3292,197.873676,544.152609
DRG1000,10% DEXTROSE,550,575,764.75,1093.5925,1673.196525,4601.290444
DRG1141,AMOXYCILLIN INJ. 500MG,400,200,266,380.38,581.9814,1600.44885
DRG1245,ATORVASTATIN 40MG ,142,52,69.16,98.8988,151.315164,416.116701
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,650,845,1123.85,1607.1055,2458.871415,6761.896391
DRG2119,HYDROCORTISONE 100MG INJ,400,280,372.4,532.532,814.77396,2240.62839
DRG4671,PARACETAMOL 300MG SUPPOSITORY,500,200,266,380.38,581.9814,1600.44885
DRG2964,PROCHLORPERAZINE MESYLATE INJECTION ,40,40,53.2,76.076,116.39628,320.08977
DRG1228,ASTYFER CAP,150,80,106.4,152.152,232.79256,640.17954
DRG4232,DEXAMETHASONE 1MG TAB,10,13,17.29,24.7247,37.828791,104.0291753
DRG2203,LABETALOL 100MG,196,156,207.48,296.6964,453.945492,1248.350103
DRG2035,OFLOXACIN 400MG TAB ,45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1997,VIDAGLIPTIN 50MG ,214,213,283.29,405.1047,619.810191,1704.478025
DRG1434,AMODIAQUINE 200MG ,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG1511,CETIRIZINE 10MG ,10,13,17.29,24.7247,37.828791,104.0291753
DRG1931,FESULF TABLET X100 TIN,2,2.6,3.458,4.94494,7.5657582,20.80583505
DRG1712,GLICLAZIDE 60MG ,166,158,210.14,300.5002,459.765306,1264.354592
DRG2191,KETOCONAZOLE CREAM ,400,520,691.6,988.988,1513.15164,4161.16701
DRG2366,METOCHLOPRAMIDE  HYDROCHLORIDE 10MG INJECTION ,50,65,86.45,123.6235,189.143955,520.1458763
DRG1256,AMOXCILLIN CLAVULANIC 228MG/5ML SUSPENSION ,"1,600.00",1600,2128,3043.04,4655.8512,12803.5908
DRG1725,DICLOFENAC SODIUM GEL,700,430,571.9,817.817,1251.26001,3440.965028
DRG1701,DEXAMETHAZONE 4MG INJ,45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1832,CHLORPHENIRAMINE SYRUP ,300,390,518.7,741.741,1134.86373,3120.875258
DRG1436,CAMOSUNATE ADULT,"1,900.00",81.25,108.0625,154.529375,236.4299438,650.1823455
DRG3169,ACICLOVIR 200MG TAB ,125,120,159.6,228.228,349.18884,960.26931
DRG2553,CEFIXIME 400MG ,240,215,285.95,408.9085,625.630005,1720.482514
DRG2658,PENTAZOCINE INJ 30MG,700,200,266,380.38,581.9814,1600.44885
DRG1405,HYOSCINE BUTYL-BROMIDE 20MG INJECTION ,90,50,66.5,95.095,145.49535,400.1122125
DRG4908,VALSARTAN HCTZ 160/12.5MG TAB,"1,028.00",141.03,187.5699,268.224957,410.3841842,1128.556507
DRG2195,CLOTRIMAZOLE/METRONIDAZOLE/LACTOBACILLUS SPORES ,583,270.83,360.2039,515.091577,788.0901128,2167.24781
DRG1512,BLOOD TONIC CAPSULES,80,50,66.5,95.095,145.49535,400.1122125
DRG2930,SIMVASTATIN 20MG,100,37.14,49.3962,70.636566,108.073946,297.2033515
DRG1025,ACICLOVIR TAB 400MG,142,170,226.1,323.323,494.68419,1360.381523
DRG1979,GRISEOFULVIN 125MG TAB,60,50,66.5,95.095,145.49535,400.1122125
DRG1249,AMOXICILLIN CLAVULANIC ACID 1.2MG INJECTION ,"2,200.00",1500,1995,2852.85,4364.8605,12003.36638
DRG2859,RINGER'S LACTATE,550,500,665,950.95,1454.9535,4001.122125
MED0443,Pregesic,80,80,106.4,152.152,232.79256,640.17954
DRG1900,AMLODIPINE VALSARTAN HCT 10/160/12.5MG TAB ,"1,107.00",364,484.12,692.2916,1059.206148,2912.816907
DRG1980,GRISEOFULVIN 500MG ,80,25,33.25,47.5475,72.747675,200.0561063
DRG1002,DEXTROSE SALINE 4.3 ,530,494,657.02,939.5386,1437.494058,3953.10866
DRG1528,CHLORPHENIRAMINE INJ 4MG,120,156,207.48,296.6964,453.945492,1248.350103
DRG4399,HYDROCHLORTHIAZIDE 50MG,15,19.5,25.935,37.08705,56.7431865,156.0437629
DRG1771,TAMSULOSIN HYDROCHLORIDE/FINASTERIDE 0.4/0.5MG ,216,258,343.14,490.6902,750.756006,2064.579017
DRG4836,TELMISARTAN HCT 40/12.5MG TABLET,193,115,152.95,218.7185,334.639305,920.2580888
DRG4151,CEFUROXIME 750MG INJ,800,1040,1383.2,1977.976,3026.30328,8322.33402
DRG4247,DICLOFENAC 100MG SUPPOSITORIES,450,135,179.55,256.7565,392.837445,1080.302974
DRG3043,TETANUS TOXOID INJ 0.5MG,300,100,133,190.19,290.9907,800.224425
DRG1463,CARVEDILOL 6.25MG TAB,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG2793,RAMIPRIL 10MG ,89,60.36,80.2788,114.798684,175.6419865,483.0154629
DRG1144,AMOXICILLIN 500MG INJECTION ,400,400,532,760.76,1163.9628,3200.8977
DRG1067,ALLOPURINOL 100MG TAB,89,40,53.2,76.076,116.39628,320.08977
DRG1482,CEFUROXIME 125MG SUSPENSION ,"2,300.00",1488.5,1979.705,2830.97815,4331.39657,11911.34057
DRG1746,"VIT B1, B6, B12/ DICLOFENAC 50MG  (DOLOMETA)",50,26.32,35.0056,50.058008,76.58875224,210.6190687
DRG1222,ASPIRIN 300MG,6,7.8,10.374,14.83482,22.6972746,62.41750515
DRG1455,CARBIMAZOLE 5MG,91,53.85,71.6205,102.417315,156.698492,430.920853
DRG2197,POTASSIUM CHLORIDE INJ,700,50,66.5,95.095,145.49535,400.1122125
DRG1819,EMVIT-C TAB X 100,8,10.4,13.832,19.77976,30.2630328,83.2233402
DRG1454,CARBAMAZEPINE 200MG TAB,280,97.1,129.143,184.67449,282.5519697,777.0179167
DRG3185,VITAMIN B-CO SYRUP,300,200,266,380.38,581.9814,1600.44885
DRG1413,CALAMINE LOTION ,700,340,452.2,646.646,989.36838,2720.763045
DRG1010,GABAPENTIN 300MG ,110,73,97.09,138.8387,212.423211,584.1638303
